direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
CS_to_RLL_3level,tempest,tempest,z,0.0011875044647598,0.0011875044647598,1.0,1.0250017933315991,0.9999481183312038
RLL_to_CS_3level,irno,base,smooth1,0.000399355578641,0.0001245374946943,3.2067095907243925,0.2803457554193161,0.7093410110025864
RLL_to_CS_3level,irno,base,smooth2,0.0004041974734506,0.0001578722192809,2.560282456860992,0.2580997894558791,0.7858973809656666
RLL_to_CS_3level,irno,base,x,0.0006800825751482,0.0004586506797544,1.4827898554786252,0.706634853959053,0.9139171600660212
RLL_to_CS_3level,irno,base,y,0.0007059071616709,0.0004586506797544,1.5390954223569489,0.6739063024791433,0.900523818258913
RLL_to_CS_3level,irno,base,z,0.0006353551672427,0.000504626510782,1.2590602230907666,0.6832768542623888,0.7645502458335346
RLL_to_CS_3level,irno,corrected_lmax16,smooth1,0.0004487742955179,0.0001245374946943,3.60352756910277,0.186819713442266,0.5519615979847683
RLL_to_CS_3level,irno,corrected_lmax16,smooth2,0.00045215359961,0.0001578722192809,2.864047909565957,0.1660278338382512,0.656563101869486
RLL_to_CS_3level,irno,corrected_lmax16,x,0.0007386607744558,0.0004586506797544,1.610508404460102,0.6352726607260211,0.8907505442818809
RLL_to_CS_3level,irno,corrected_lmax16,y,0.0007619745283784,0.0004586506797544,1.6613395815447716,0.6085046582513133,0.8758651842726838
RLL_to_CS_3level,irno,corrected_lmax16,z,0.0007035969919282,0.000504626510782,1.3942925646888096,0.6351887497289797,0.7432251556106569
RLL_to_CS_3level,irno,corrected_lmax24,smooth1,0.0004810421326666,0.0001245374946943,3.8626289524083135,0.1463942751089226,0.4189633257641904
RLL_to_CS_3level,irno,corrected_lmax24,smooth2,0.000481994822129,0.0001578722192809,3.05306927542073,0.1323475371230742,0.5206485925751562
RLL_to_CS_3level,irno,corrected_lmax24,x,0.0007792730301089,0.0004586506797544,1.6990556528253442,0.6107415840452465,0.8706116042757247
RLL_to_CS_3level,irno,corrected_lmax24,y,0.0008032001410267,0.0004586506797544,1.7512241374128141,0.5863826276051436,0.8526575595316265
RLL_to_CS_3level,irno,corrected_lmax24,z,0.0007512447306811,0.000504626510782,1.488714355329698,0.6253246842473624,0.7211630113532033
RLL_to_CS_3level,irno,corrected_lmax8,smooth1,0.0004208754598454,0.0001245374946943,3.379508001815161,0.2339068450335467,0.6504366641185431
RLL_to_CS_3level,irno,corrected_lmax8,smooth2,0.0004255611080979,0.0001578722192809,2.6956047747748744,0.2104776629045983,0.7429929514576642
RLL_to_CS_3level,irno,corrected_lmax8,x,0.0007051159317316,0.0004586506797544,1.5373702969527445,0.6688504924061531,0.9042509739881072
RLL_to_CS_3level,irno,corrected_lmax8,y,0.0007290383606166,0.0004586506797544,1.589528573264054,0.6390740459589153,0.8910345958238037
RLL_to_CS_3level,irno,corrected_lmax8,z,0.0006640863099666,0.000504626510782,1.3159956834956834,0.6542966463805225,0.7580988208240859
RLL_to_CS_3level,tempest,tempest,smooth1,0.0001245374946943,0.0001245374946943,1.0,1.0478489669158724,0.9996659821218256
RLL_to_CS_3level,tempest,tempest,smooth2,0.0001578722192809,0.0001578722192809,1.0,0.9888002826614708,0.999917974063936
RLL_to_CS_3level,tempest,tempest,x,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,y,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,z,0.000504626510782,0.000504626510782,1.0,1.0315586132808952,0.9999771002781048
