direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
CS_to_RLL_3level,tempest,tempest,smooth1,0.0004629036058523,0.0004629036058523,1.0,1.028089101772958,0.9999491493976278
CS_to_RLL_3level,tempest,tempest,smooth2,0.0005211175044289,0.0005211175044289,1.0,1.0085651141537837,0.9999962101190042
CS_to_RLL_3level,tempest,tempest,x,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
CS_to_RLL_3level,tempest,tempest,y,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
CS_to_RLL_3level,tempest,tempest,z,0.0011875044647598,0.0011875044647598,1.0,1.0250017933315991,0.9999481183312038
RLL_to_CS_3level,irno,base,smooth1,0.0004880242260636,0.0001245374946943,3.9186931394560687,0.0240610172874644,0.0015364764290367
RLL_to_CS_3level,irno,base,smooth2,0.0004665684510814,0.0001578722192809,2.9553549902990897,0.1398648210272924,0.0467026410364156
RLL_to_CS_3level,irno,base,x,0.0006381609008907,0.0004586506797544,1.391387670530489,0.7262869568329053,0.5581874928483239
RLL_to_CS_3level,irno,base,y,0.000651017497102,0.0004586506797544,1.419419017215039,0.7053152436079357,0.6450936485406582
RLL_to_CS_3level,irno,base,z,0.0006396216655937,0.000504626510782,1.2675149876737615,0.7696298346831174,0.8583213754243064
RLL_to_CS_3level,irno,corrected_lmax16,smooth1,0.0004238696371284,0.0001245374946943,3.403550377891135,0.1109371512187747,0.0414170384340442
RLL_to_CS_3level,irno,corrected_lmax16,smooth2,0.0004093578713419,0.0001578722192809,2.592969638398095,0.2356285693844651,0.1417306008685935
RLL_to_CS_3level,irno,corrected_lmax16,x,0.0005697621547174,0.0004586506797544,1.2422572992206147,0.7970966690784556,0.5990732639735008
RLL_to_CS_3level,irno,corrected_lmax16,y,0.0005838353757598,0.0004586506797544,1.2729412634304484,0.7764535672582821,0.7119450267657562
RLL_to_CS_3level,irno,corrected_lmax16,z,0.0005817034697155,0.000504626510782,1.1527406057483125,0.862595254893784,0.9060738457688662
RLL_to_CS_3level,irno,corrected_lmax24,smooth1,0.0004014890181697,0.0001245374946943,3.2238404920159023,0.1659715586741849,0.0857658881419737
RLL_to_CS_3level,irno,corrected_lmax24,smooth2,0.0003907798130886,0.0001578722192809,2.4752918206165866,0.288734279514188,0.1940110433062819
RLL_to_CS_3level,irno,corrected_lmax24,x,0.0005526266289919,0.0004586506797544,1.20489656591771,0.8380010041231104,0.6079873614601636
RLL_to_CS_3level,irno,corrected_lmax24,y,0.0005726077469806,0.0004586506797544,1.2484615683709923,0.8059863521616111,0.7199589564933211
RLL_to_CS_3level,irno,corrected_lmax24,z,0.0005754797073493,0.000504626510782,1.1404072022643073,0.8915654745722198,0.9058135488645912
RLL_to_CS_3level,irno,corrected_lmax8,smooth1,0.0004559319148944,0.0001245374946943,3.6610011789105603,0.0558260147012857,0.0100083845863719
RLL_to_CS_3level,irno,corrected_lmax8,smooth2,0.000437874318836,0.0001578722192809,2.7735995657152057,0.1779022293781099,0.0830688757801029
RLL_to_CS_3level,irno,corrected_lmax8,x,0.000601954292617,0.0004586506797544,1.3124460928289405,0.7540817239008214,0.5816105845608919
RLL_to_CS_3level,irno,corrected_lmax8,y,0.0006131181975399,0.0004586506797544,1.3367868502194629,0.7370723419505215,0.6849392818432332
RLL_to_CS_3level,irno,corrected_lmax8,z,0.0006057906432243,0.000504626510782,1.2004732812898196,0.8154909970546622,0.8907105207573031
RLL_to_CS_3level,tempest,tempest,smooth1,0.0001245374946943,0.0001245374946943,1.0,1.0478489669158724,0.9996659821218256
RLL_to_CS_3level,tempest,tempest,smooth2,0.0001578722192809,0.0001578722192809,1.0,0.9888002826614708,0.999917974063936
RLL_to_CS_3level,tempest,tempest,x,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,y,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,z,0.000504626510782,0.000504626510782,1.0,1.0315586132808952,0.9999771002781048
